web_name,form,now_cost,selected_by_percent,event_points,total_points,ict_index,influence,creativity,threat,transfers_in,transfers_out,bonus
Andersen,0.5,39,0.8,0,15,15.6,126.8,1.8,27.0,205663,208595,1
Bell,2.5,39,3.2,1,22,37.1,234.4,95.3,42.0,182609,648784,1
Berry,0.0,47,0.0,0,2,0.2,0.0,0.0,2.0,1324,6336,0
Burke,0.0,40,0.1,0,13,25.6,131.2,73.8,51.0,25010,22173,0
Campbell,0.0,49,0.0,0,0,0.0,0.0,0.0,0.0,182,3870,0
Clark,0.2,48,0.0,0,4,3.1,16.8,11.8,2.0,708,1633,0
Doughty,6.2,44,2.1,9,58,99.7,324.8,540.8,132.0,246636,56971,10
Freeman,0.0,49,0.0,0,0,0.0,0.0,0.0,0.0,59,1921,0
Macey,0.0,40,0.2,0,0,0.0,0.0,0.0,0.0,1324,42870,0
McAtee,0.0,45,0.4,0,0,0.0,0.0,0.0,0.0,7174,234278,0
Mendes,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,0,1455,0
Morris,2.5,50,2.0,1,63,67.9,191.0,124.0,366.0,1110631,1055689,7
Muskwe,0.0,45,0.1,0,0,0.0,0.0,0.0,0.0,1383,18564,0
Ogbene,0.8,49,0.1,1,36,53.9,171.0,204.1,163.0,20500,25026,2
Onyedinma,0.0,50,0.0,0,0,0.0,0.0,0.0,0.0,0,202,0
Osho,2.0,44,0.0,1,20,24.3,214.4,3.6,25.0,5080,4210,0
Pepple,0.0,45,0.1,0,0,0.0,0.0,0.0,0.0,838,17346,0
Pereira,0.0,44,0.0,0,0,0.0,0.0,0.0,0.0,1744,17454,0
Potts,0.0,39,0.1,0,0,0.0,0.0,0.0,0.0,8797,10653,0
Rea,0.0,44,0.0,0,0,0.0,0.0,0.0,0.0,883,5262,0
Shea,0.0,43,0.1,0,0,0.0,0.0,0.0,0.0,2569,12427,0
Taylor,0.0,45,0.1,0,0,0.0,0.0,0.0,0.0,0,25014,0
Thorpe,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,14,603,0
Walton,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,0,801,0
Watson,0.0,44,0.1,0,0,0.0,0.0,0.0,0.0,3951,28688,0
Woodrow,0.2,44,0.6,1,8,10.7,26.2,49.6,32.0,126172,142438,0
Akanji,2.0,49,5.1,6,49,49.5,295.4,125.7,73.0,1083265,1121667,1
Aké,3.5,50,6.0,6,54,52.5,251.6,102.7,170.0,838323,787072,4
J.Alvarez,5.5,70,35.1,7,97,156.1,430.4,661.3,469.0,6034549,3170311,14
Bernardo,6.8,65,5.2,3,81,125.2,456.2,499.0,296.0,744554,698853,13
Bobb,0.2,44,0.1,1,12,11.3,35.0,55.0,23.0,9719,9104,0
Cancelo,0.0,58,1.0,0,0,0.0,0.0,0.0,0.0,23685,273124,0
Carson,0.0,39,0.1,0,0,0.0,0.0,0.0,0.0,6158,7161,0
Charles,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,0,36,0
De Bruyne,0.0,102,4.8,0,1,2.2,2.4,18.8,1.0,380688,1329280,0
Rúben,1.0,55,6.5,1,36,49.4,284.0,102.3,106.0,605642,759957,1
Doyle,1.0,44,0.1,2,15,16.6,82.6,67.5,16.0,10271,8400,0
Ederson M.,2.5,55,16.2,6,54,32.9,320.2,10.0,0.0,1229117,1336949,0
Foden,6.8,78,21.1,12,96,152.5,451.0,584.9,487.0,3027607,1827782,12
Grealish,5.0,72,2.0,1,39,70.4,214.2,267.2,222.0,163722,522814,6
Haaland,0.0,139,53.7,0,112,159.8,588.6,197.5,810.0,1645449,5149882,15
Kovačić,1.2,47,0.4,2,24,30.0,99.2,153.4,48.0,40233,114922,0
Laporte,0.0,49,0.1,0,1,2.9,11.4,0.1,17.0,2340,34386,0
R.Lewis,2.2,43,0.4,1,30,17.9,62.0,72.9,44.0,74628,85696,1
Mahrez,0.0,75,0.0,0,0,0.0,0.0,0.0,0.0,0,5556,0
McAtee,3.0,44,0.8,0,41,52.3,174.6,189.5,159.0,180134,108761,0
Ortega Moreno,0.0,38,0.8,0,2,1.9,18.6,0.0,0.0,90372,87657,0
Palmer,6.8,56,29.3,18,92,125.8,465.2,393.9,401.0,3824618,850159,11
