web_name,team,element_type,form,now_cost,selected_by_percent,event_points,total_points,ict_index,influence,creativity,threat,transfers_in,transfers_out,bonus
Hubner,Wolves,DEF,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,2114,1271,0
Angelini,Brentford,GK,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,677,354,0
Kavanagh,Brighton,DEF,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,535,366,0
Yago Santiago,Spurs,MID,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,273,169,0
Barrington,Brighton,MID,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,199,125,0
Pitaluga,Liverpool,GK,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,132,120,0
Bradley,Liverpool,DEF,2.7,40,0.1,8,8,7.3,28.6,15.9,28.0,10928,1897,0
Castledine,Chelsea,MID,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,154,107,0
Peck,Sheffield Utd,MID,0.0,44,0.0,0,1,0.0,0.0,0.1,0.0,111,70,0
Metcalfe,Everton,MID,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,64,41,0
Campbell,Everton,DEF,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,512,211,0
